id;myzone;neighborhood;going;place;route;routine_id;hub;slots;description;created_at;updated_at;week_days;repeats_until;done;deleted_at;date
;Zona Oeste;Pechincha;;Center Shopping;Pau Ferro;;CCS;;Não fumo - Contribuição pedágio 3 reais ;2017-03-23 18:21:38;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-05-08 10:30:00
;Zona Oeste;Barra da Tijuca;;Cond. Interlagos de Itaúna;Via Alvorada;;CT: Bloco D;;;2016-04-09 17:34:25;2017-04-19 11:59:25;1;;;;2016-05-30 17:00:00
;Rio das Ostras;Nova Aliança;;Mercado Multimarket - Praia da tartaruga;Rodovia amaral peixoto (a principal) e depois são marcos.;;Polo Universitário;;"Valor da carona: R$ 5,00
Whats: 22 992076906";2019-03-21 11:01:47;2019-03-21 11:01:47;1,2,3,4,5;2019-05-22;;;2019-04-15 09:00:00
;Zona Oeste;Cosmos;;Estação BRT cosmos;Estrada do campinho, avenida brasil direto;;EEFD;;Na carona do wesclão a galera da Z.O. fica feliz.;2019-03-27 23:37:03;2019-03-27 23:37:03;1,2,3,4,5;2019-07-28;;;2019-06-13 15:10:00
;Zona Sul;Botafogo;;sao clemente;cidade nova, santa barbara, são Clemente;;EEFD;;não cobro nada =);2016-11-21 20:52:44;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-12-23 22:00:00
;Zona Sul;Flamengo;;Rua Senador vergueiro;Túnel Santa Bárbara;;CT: Bloco D;;;2016-05-06 10:44:28;2017-04-19 11:59:25;5;;;;2016-05-27 13:00:00
;Centro;Glória;;Restaurante amarelinho;A combinar;;CT;;;2018-09-04 18:16:47;2018-09-04 18:16:47;1,5;;;;2018-10-05 08:40:00
;Zona Norte;Portuguesa;;Casa Show;Estrada Do Galeão, 2716;;Letras;;;2016-04-29 20:38:21;2017-04-19 11:59:25;3,5;;;;2016-06-08 20:00:00
;Zona Oeste;Recreio dos Bandeirantes;;BRT Estação Gilka Machado;Linha Amarela;;Letras;;;2018-04-06 13:23:16;2018-04-06 13:23:16;5;;;;2018-04-27 17:10:00
;Zona Norte;Tijuca;;Perto do Largo da Segunda-Feira;Largo da 2ª Feira, Haddock Lobo;;CCMN;;"Peço apenas a simpatia e um colaboração para inteirar a gasolina.
4 reais";2017-03-28 18:05:02;2017-04-19 11:59:25;1,3;2017-05-29;;;2017-03-29 09:20:00
;Grande Niterói;Centro (Niterói);;São Francisco;Centro-Icaraí-São Francisco;;CCS: Frente;;Peço uma ajuda de R$ 6,00 para gasolina e pedágio. ;2016-06-02 10:38:03;2017-04-19 11:59:25;;;;;2016-06-02 15:20:00
;Zona Sul;Gávea;;prof manuel ferreira;jb, lagoa;;CCS;;;2017-08-24 23:15:14;2017-08-24 23:15:14;5;;;;2017-09-08 08:30:00
;Zona Sul;Botafogo;;Voluntarios da Pátria, esquina com Praia de Botafogo;CCS, CT, Linha Vermelha (ou SB), Botafogo;;CCS: HUCFF;;"R$4 da gasolina.
O caminho (SB, Rebouças ou até mesmo aterro) depende de quem pedir primeiro. Saio do HU e passo no CT! O horário é aproximado, às vezes saio antes das 17h.
Se eu não responder aqui, manda um Wpp: (21)982361429
Abs!";2018-11-16 15:32:41;2018-11-16 15:32:41;1,2,4,5;;;;2018-11-23 17:00:00
;Zona Sul;Copacabana;;Santa clara;Linha Vermelha - Reboucas;;CT: Bloco A;;;2016-04-19 17:34:19;2017-04-19 11:59:25;;;;2016-04-19 17:35:03;2016-04-19 18:00:00
;Zona Sul;Catete;;Frente ao hotel Windsor Florida;Via Sta barbara;;CCS: Frente;;$4 ajuda amiga na gasolina ;2016-06-22 21:01:57;2017-04-19 11:59:25;;;;2016-06-22 21:02:03;2016-06-23 19:30:00
;Zona Sul;Gávea;;prof. manuel ferreira;jardim botanico, lagoa;;CCS;;contribuições são bem vindas :);2016-06-20 22:28:37;2017-04-19 11:59:25;;;;;2016-06-27 09:30:00
;Zona Norte;Vila da Penha;;Largo do Bicão ;Av. Brasil;;CT: Bloco A;;Não fumantes são bem-vindos!;2016-05-19 09:05:44;2017-04-19 11:59:25;1,2,4;;;2016-05-19 09:10:36;2016-06-16 10:00:00
;Zona Norte;Jardim Guanabara;;Na estrada do Galeão em frente à Estácio;Brt Fundão, Base Aérea, Peixaria, Praça do Avião, Casa Show, Extra, Assai;;CCMN: Fundos;;"1. Caso não saiba como chegar no ponto de encontro é só mandar mensagem. 
2. Sem cigarros no carro. 
3. Posso pegar caronas no meio do caminha (no HU por exemplo). 
4. Toda ajuda financeira para a gasolina é muito bem vinda :) ";2016-05-09 11:45:49;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-30 15:00:00
;Zona Norte;Vila Isabel;;Rua torres homem;Sao Cristovao - maracanã;;CT: Bloco D;;;2016-05-02 16:38:51;2017-04-19 11:59:25;;;;2016-05-02 16:39:51;2016-05-03 08:00:00
;Zona Sul;Ipanema;;Praça General Osório;Túnel Rebouças;;CT;;"Saio entre 7 e 7:15.
Cobro $4 pra ajudar na gasolina.";2017-02-19 15:40:11;2017-04-19 11:59:25;1,2,3,4;;;;2017-06-05 08:00:00
;Zona Oeste;Bangu;;Honda Motors, av. brasil, CCS;Av. Brasil;;Todos os Centros;;Previsão de chegada ao CCS entre 17:20/18:00. Cobro 4 reais!;2017-09-19 14:21:27;2017-09-19 14:21:27;2;;;;2017-11-07 18:00:00
;Zona Norte;Méier;;rua do extra;linha amarela ate saida 2 ou sao cristovão, zoologico, maracana, 24 de maio, lins. depende do transito;;CT: Bloco A;;"aceito ajuda para gasolina sem valor fixo.
o app as vezes nao manda notificacao, confirmar pelo whatsapp 995297880";2016-05-23 06:59:26;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-16 16:30:00
;Zona Oeste;Barra da Tijuca;;Makro;Linha Amarela, Ayrton Senna ;;CT: Bloco D;;Pré intereng comprar suprimentos;2016-04-15 10:05:20;2017-04-19 11:59:25;;;;;2016-04-15 12:05:00
;Rio das Ostras;Terra Firme;;Câmara Municipal;;;Polo Universitário;;;2019-03-13 11:22:14;2019-03-13 11:22:14;2,4;2019-07-14;;;2019-04-16 09:30:00
;Zona Norte;Jardim Guanabara;;Cultura Inglesa;Estrada Do Galeao;;CT: Bloco D;;;2016-04-14 16:54:10;2017-04-19 11:59:25;2,4;;;2016-04-25 19:01:59;2016-07-05 22:00:00
;Zona Sul;Ipanema;;;Rebouças, Lagoa, Rua Alberto de Campos ;;Reitoria;;"

";2016-05-24 12:12:13;2017-04-19 11:59:25;;;;;2016-05-24 13:00:00
;Baixada;São João de Meriti;;Casa do Alemão;Linha Vermelha até a Dutra, altura da igreja de Agostinho Porto;;CT: Bloco H;;Peço 4 reais para ajudar no combustível. Posso buscar em Vilar dos Teles ou no centro de SJM. Desejável ter o dinheiro trocado, pois pode acontecer de eu não ter troco. Utilizo o Waze, em caso de engarrafamento;2016-09-09 01:12:35;2017-04-19 11:59:25;2,4;;;;2016-11-29 17:00:00
;Centro;Rio Comprido;;Esquina da Barão de Itapagipe;Paulo de Frontin - Leopoldina - Av. Brasil - Linha Vermelha;;Reitoria;;"Contribuições serão bem vindas! 
✌🏼🤓


Falar no WhatsApp:
(21) 9 9573 8616";2017-05-11 20:02:58;2017-05-11 20:02:58;1,2,3,4,5;;;;2017-05-15 07:00:00
;Zona Norte;Tijuca;;Santander Bloco H;Shopping Tijuca ;;CT: Bloco H;;Linha vermelha, Leopoldina, Maracanã, Shopping Tijuca. R$3,00;2016-07-25 22:51:47;2017-04-19 11:59:25;;;;;2016-07-26 16:45:00
;Grande Niterói;Centro (Niterói);;Icarai;;;CT: Bloco H;;Contribuicao para gasolina;2016-12-04 23:51:40;2017-04-19 11:59:25;;;;2016-12-05 09:43:14;2016-12-05 18:30:00
;Zona Norte;Pilares;;norte shopping;suburbana, linha amarela, bonsucesso;;CCS: Frente;;não fumo, não transporto material .;2017-02-13 12:34:27;2017-04-19 11:59:25;1,2,3,4,5,6;;;;2017-02-22 15:00:00
;Centro;Rio Comprido;;Esquina da Barão de Itapagipe;Paulo de Frontin - Leopoldina - Av. Brasil - Linha Vermelha;;Reitoria;;"Contribuição pra gasolina: R$4,00!
✌🏼🤓


Falar no WhatsApp:
(21) 9 9573 8616";2017-10-06 14:29:37;2017-10-06 14:29:37;1;;;;2017-12-04 10:00:00
;Zona Norte;Tijuca;;Rua Andrade Neves ;Rua Bom Pastor, Rua Conde De Bonfim, Rua Hadokk Lobo, Viaduto Paulo De Frontein, Leopoldina, Av. Brasil E Linha Vermelha;;CT;;;2016-06-12 20:05:51;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-14 07:00:00
;Zona Sul;Flamengo;;Lg do machado;Tunel M. Allencar;;CT: Bloco H;;;2017-04-10 14:51:43;2017-04-19 11:59:25;;;;;2017-04-10 15:00:00
;Zona Sul;Botafogo;;Largo dos leões;Ct, Ponte Do Saber, Linh Vermelha,leopoldina(opcional), Viaduto Paulo De F, Reboucas, Fonte Da Saudade, Humaita, Botafogo;;CT: Bloco H;;;2016-04-10 00:15:00;2017-04-19 11:59:25;2,4;;;2016-04-11 12:43:53;2016-05-05 01:00:00
;Grande Niterói;Centro (Niterói);;Em frente aos Bombeiros;;;CT;;"Tenho ido de MOTO. Peso máximo do carona = 60 kg.
Pego corredor na ponte e ando forte, então não recomendado para quem tem medo de aventura :) porém chego rápido independente das condições de transito. Deus abençoe";2016-04-19 12:20:18;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-19 12:24:17;2016-05-20 13:00:00
;Zona Norte;Tauá;;Faetec Tauá;Estrada das Canárias, Moneró, Estrada do Dendê, Av. Paranapuã;;CCMN: Fundos;;"- Solicito ajuda de R$ 3,00 para gasolina
- Whatsapp 98886-8941";2017-05-22 18:11:31;2017-05-22 18:11:31;1,2,3,4,5;;;;2017-07-18 19:15:00
;Zona Sul;São Conrado;;;Rebouças ;;EEFD;;Posso fazer pequenas alterações na rota :) ;2016-05-08 21:14:06;2017-04-19 11:59:25;2,3,4,5;;;;2016-05-27 13:30:00
;Zona Norte;Tijuca;;Rua Alzira Brandão;Largo da Segunda Feira > Professor Gabizo > América > Praça da Bandeira > CT;;CT;;"Também posso ir pela Haddock Lobo.
WhatsApp: 97330-1551";2018-03-26 22:56:21;2018-03-26 22:56:21;2,4;;;;2018-05-03 08:00:00
;Zona Sul;Copacabana;;posto 4;Catete, Flamengo;;Letras;;;2016-05-04 08:46:44;2017-04-19 11:59:25;1,2,4,5;;;;2016-06-13 21:00:00
;Zona Sul;Botafogo;;Voluntários ;Túnel Rebouças ;;CT: Bloco A;;;2016-09-22 12:46:05;2017-04-19 11:59:25;2,3,4,5;;;2016-10-06 18:25:58;2016-10-07 08:00:00
;Zona Sul;Flamengo;;Rua Senador Vergueiro;Túnel Santa Bárbara;;CT;;;2016-04-25 12:15:11;2017-04-19 11:59:25;1,2,3,4,5,6;;;;2016-06-02 08:00:00
;Zona Sul;Copacabana;;Republica do Peru - SmartFit toneleiros;Toneleiros, Figueiredo, Botafogo, Rebouças, CT;;CT: Bloco D;;Colaborar com 4 reais;2016-11-27 20:25:17;2017-04-19 11:59:25;;;;;2016-11-28 08:10:00
;Zona Norte;Anchieta;;paint ball;Pavuna;;Letras;;;2016-04-19 20:42:06;2017-04-19 11:59:25;2,3,4,5;;;;2016-06-09 18:00:00
;Grande Niterói;Centro (Niterói);;Ingá, perto do Pão de Açúcar ;Paulo Alves, Plaza;;CT: Bloco A;;;2016-04-25 21:20:53;2017-04-19 11:59:25;2;;;;2016-05-24 08:00:00
;Zona Sul;Humaitá;;Até Corporate Center Rua Humaitá 275;;;CT: Bloco D;;;2016-07-18 10:34:13;2017-04-19 11:59:25;1,2,5;;;2016-07-18 20:01:09;2016-09-19 11:00:00
;Zona Norte;Tijuca;;Quinta da Boa Vista, Maracanã, Shopping Tijuca, Usina;São Cristóvão, Maracanã, Extra, Praça Xavier de Brito;;CT: Bloco H;;;2016-04-12 06:27:09;2017-04-19 11:59:25;1,2,3,4,5,6;;;2016-04-18 11:03:42;2016-07-11 18:00:00
;Zona Norte;Méier;;Fábio Luz ,  Dias da Cruz;Dias da Cruz , saída 2 ,  Linha amarela;;CT;;Saída do Méier por volta das 8:30.;2016-06-01 22:59:52;2017-04-19 11:59:25;;;;;2016-06-02 08:30:00
;Zona Norte;Abolição;;Mercado guanabara Av dom Hélder câmara ;Av Dom Hélder Câmara- Linha Amarela Na Altura Do Prédio Arena;;CT: Bloco A;;"$4
🚗🌬
Saída- 21:40";2016-04-14 07:56:53;2017-04-19 11:59:25;1,2,3,4;;;;2016-04-25 18:00:00
;Baixada;Duque de Caxias;;Duque de Caxias;Centro de Caxias, linha vermelha, praia vermelha.;;Praia Vermelha;;Saindo de Caxias até às 17:30Hs;2018-10-31 00:38:54;2018-10-31 00:38:54;1,3,4,5;;;;2018-11-02 18:00:00
;Zona Sul;Botafogo;;Ponto da Praia de Botafogo;Rua Pinheiro Machado;;CCMN;;;2016-04-11 10:58:01;2017-04-19 11:59:25;;;;;2016-04-11 11:30:00
;Grande Niterói;Centro (Niterói);;;Linha Vermelha, Ponte, Av Feliciano Sodre, Av visconde Do Rio Branco, Cantareira ;;Letras;;Não fumo! ;2016-04-09 17:32:21;2017-04-19 11:59:25;5;;;2016-04-09 17:38:08;2016-05-27 17:00:00
;Baixada;Duque de Caxias;;;Linha vermelha ;;CCMN;;;2016-04-25 23:12:21;2017-04-19 11:59:25;2,4;;;;2016-06-02 09:20:00
;Zona Norte;Tijuca;;metro sao cristovao;linha vermelha;;EEFD;;;2016-10-27 07:20:07;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-12-09 17:44:00
;Zona Norte;Vila da Penha;;shopping carioca ;avenida Brasil penha ;;CCS: HUCFF;;;2016-04-09 23:19:35;2017-04-19 11:59:25;2;;;;2016-05-10 16:00:00
;Zona Norte;Oswaldo Cruz;;Madureira shopping, Portela.;Linha Amarela, Suburbana, Cascadura, Edgar Romero, Est. Portela;;Letras;;"Preferência de carona para as meninas!

Posso alterar a rota se for pra deixar mais próximo, desde que a alteração seja pequena pro meu trajeto final.";2018-05-14 11:01:14;2018-05-14 11:01:14;2;;;;2018-06-12 21:30:00
;Zona Sul;Botafogo;;Morada do Sol;Ilha Do Fundão - Ponte Do Saber - Linha Vermelha - Túnel Santa Barbara - Rua Pinheiro Machado - Rua Marques De Olinda - Praia De Botafogo - Rua Da Passagem;;CCS: Frente;;Auxílio Combustível R$4,00;2017-02-24 00:34:01;2017-04-19 11:59:25;1,4,5;;;2017-03-06 17:45:33;2017-06-02 17:00:00
;Zona Sul;Botafogo;;Academia Gym Center;Rebouças Ou Santa Barbara - Linha Vermelha - Fundão;;EEFD;;;2018-08-26 16:36:53;2018-08-26 16:36:53;2,4;;;;2018-10-16 12:30:00
;Zona Sul;Botafogo;;Predio Corpus Rua Dona Mariana;Via Santa Barbara;;CCS;;Para chegar às 7:20 no CCS;2016-04-10 10:05:01;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-06 07:20:00
;Zona Norte;Tijuca;;Afonso Pena;Praça da Bandeira, Clube América, Clube Municipal;;CT;;3 reais pra ajudar na gasolina :);2017-05-04 18:21:53;2017-05-04 18:21:53;1,3,5;;;;2017-05-19 10:00:00
;Zona Sul;Ipanema;;garcia davila;cantagalo;;CT: Bloco D;;;2016-08-30 14:26:46;2017-04-19 11:59:25;3;;;;2016-11-02 17:00:00
;Zona Oeste;Recreio dos Bandeirantes;;Mundial Av das Americas;;;CCS;;;2016-12-13 10:54:34;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-01-25 12:00:00
;Zona Norte;Tijuca;;Barao de Mesquita;São Cristóvão, Maracana, Barão De Mesquita Até Sesc Tijuca;;CT: Bloco A;;;2016-05-17 11:27:06;2017-04-19 11:59:25;;;;;2016-05-17 12:00:00
;Grande Niterói;São Gonçalo;;Cemitério São Miguel (Mutuá);BR;;CT: Bloco H;;;2016-04-15 20:21:55;2017-04-19 11:59:25;2,3,4,5;;;;2016-08-11 12:00:00
;Zona Sul;Copacabana;;Hilário de Gouveia na frente do Mc Donalds;Praia de Botafogo, Santa Bárbara, Linha Vermelha;;CCS;;Ajudinha com a gasolina, galera hahaha!  3,50 🚗😊  Saio de Copa às 7:10h pontualmente. Entro pela entrada do HU. Ah, tem ar e som também ( podemos revezar os gostos no Spotify 😄);2016-05-15 00:07:01;2017-04-19 11:59:25;1,2,3,4,5;;;2016-05-31 08:26:46;2016-05-31 07:50:00
;Zona Norte;Jardim Carioca;;;Estrada Do Galeão ;;CCMN: Frente;;Contribuições são bem vindas :);2016-06-15 20:17:57;2017-04-19 11:59:25;;;;;2016-06-16 12:00:00
;Zona Sul;Jardim Botânico;;Rua faro;Cap UFRJ, Borges, Rebouças ;;CT;;Às vezes me atraso um pouquinho;2016-04-10 22:22:34;2017-04-19 11:59:25;2,3,4,5;;;2016-04-14 21:11:04;2016-06-08 08:10:00
;Zona Norte;Cacuia;;Hospital Paulino Werneck;Est. Galeao, Bombeiros, Prezunic, Casa Show;;CCS;;;2016-08-30 18:10:04;2017-04-19 11:59:25;1,2,3,4;;;2016-08-30 18:13:57;2016-10-17 19:00:00
;Zona Norte;Andaraí;;Próximo ao Tijolinho;Maxuel - Maracanã - Linha Vermelha;;CT: Bloco H;;4 reais para ajudar no combustível.;2017-07-11 23:10:03;2017-07-11 23:10:03;1,2,3,4,5;;;;2017-07-31 13:00:00
;Zona Sul;Copacabana;;Rua Santa Clara ;Túnel Rebouças, Humaita, Túnel Velho ;;CT: Bloco H;;"Saio do Parque Tecnológico para passar no bloco H. 
Não fumo. Ar condicionado. 
Contribuições são bem vindas. ";2016-09-14 19:14:01;2017-04-19 11:59:25;;;;;2016-09-14 19:30:00
;Grande Niterói;Centro (Niterói);;Saindo de Icaraí;Passando por Icaraí, Marques de Paraná e pela linha vermelha;;CT;;Saindo de Icaraí, mas podemos marcar um lugar para te buscar.;2019-03-29 11:07:06;2019-03-29 11:07:06;2,5;2019-05-29;;;2019-04-05 12:50:00
;Zona Sul;Laranjeiras;;;;;CCS;;;2016-04-22 14:06:28;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-08-25 07:30:00
;Zona Norte;Vila Isabel;;Casa do Biscoito da 28;28, Silva Pinto, Teodoro, Maracanã, São Cristóvão;;CT;;"Ar condicionado ♥️
Excelente gosto musical 🎶
Saindo 7:00 🕗
Contribuições de R$3,00 💸";2016-04-24 14:41:28;2017-04-19 11:59:25;1;;;;2016-06-06 08:00:00
;Zona Norte;Méier;;ponto de onibus da rua carolina santos em frente ao numero 119;rua adriano, rua piaui, av. don helder camara, linha amarela;;CT;;"saio do ponto combinado as 8:30. aceito ajuda para gasolina, sem valor fixo.
as vezes o aplicativo nao manda notificacao, confirmar no whatsapp 995297880";2016-05-22 22:37:06;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-22 08:30:00
;Zona Norte;Portuguesa;;Extra ou Casa Show;;;CT;;;2016-11-21 16:23:51;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-12-29 09:00:00
;Zona Oeste;Freguesia de Jacarepaguá;;Estacio Estrada Do Capenha;Linha Amarela;;Letras;;Conto com 6 reais para ajudar pedágio e gasolina.;2017-03-06 12:19:36;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-03-31 17:00:00
;Zona Norte;Ramos;;Academia R2;Estação de Ramos, Rua Cardoso de Morais, Av Teixeira de Castro, Av Brigadeiro Trompowski ;;CCMN;;Peço aquela colaboração pro combustível! Pessoal costuma ajudar com 2 reais. Deixo em qualquer prédio do fundão. Se eu não responder aqui chama no whatsapp: 986685013;2016-09-26 10:31:35;2017-04-19 11:59:25;;;;;2016-09-27 08:00:00
;Zona Norte;Cachambi;;;Linha amarela, Norte Shopping, Estação do Meier;;CT: Bloco H;;Contribuição sugerida para combustível: 3,50;2017-03-28 11:06:28;2017-04-19 11:59:25;2,4;;;2017-03-28 11:08:23;2017-05-11 16:45:00
;Centro;Estácio;;Estacio;Leopoldina, Av Paulo De Frontin, Metro Do Estacio;;CT: Bloco A;;;2016-04-14 17:42:39;2017-04-19 11:59:25;3;;;2016-04-14 19:01:23;2016-05-04 15:30:00
;Zona Sul;Copacabana;;Posto6;Lagoa-Rebouças;;CT: Bloco A;;;2016-04-11 15:57:47;2017-04-19 11:59:25;2,3,5;;;2016-04-11 16:03:31;2016-05-25 13:00:00
;Zona Oeste;Barra da Tijuca;;Posto 5;Ayrton Senna, Av das Américas, Praia;;CT: Bloco H;;;2016-04-11 16:14:57;2017-04-19 11:59:25;5;;;;2016-05-27 12:15:00
;Zona Norte;Cocotá;;Escola Abeilard Feijó ;via Estrada do Cacuia/Galeão ou via Estrada do Dendê /Galeão ;;CCS;;;2016-04-25 23:01:05;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-31 08:30:00
;Zona Sul;Ipanema;;General Osório;Corte do Cantagalo, Raul Pompeia;;CT: Bloco D;;;2016-04-11 18:22:46;2017-04-19 11:59:25;2,4,5;;;;2016-05-10 18:00:00
;Zona Oeste;Recreio dos Bandeirantes;;;Salvador Alende e Linha Amarela ;;Reitoria;;;2016-04-10 10:40:14;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-22 07:30:00
;Zona Norte;Cachambi;;Norte Shopping;CT, Reitoria, Letras, CCS, Linha Amarela, Del Castilho, Dom Hélder Câmara;;CT: Bloco D;;"Ar condicionado
Aceito animais
Não fumo
Posso mudar o trajeto (a combinar)
Aceito ajuda para combustível

whatsapp p/ contato: (21)99843-8044";2016-04-29 10:06:42;2017-04-19 11:59:25;4;;;;2016-06-16 21:45:00
;Zona Norte;Bento Ribeiro;;;;;CT: Bloco A;;;2017-03-07 09:17:35;2017-04-19 11:59:25;2,4;;;2017-03-07 16:33:39;2017-03-21 17:00:00
;Zona Sul;Flamengo;;Rua Paissandu (em frente ao Palácio Guanabara);Tn Santa Barbara - Presidente Vargas;;CT;;Favor colaborar com 3 reais, obs: meu carro é um fusca portanto não tem ar-condicionado!;2017-05-12 09:12:54;2017-05-12 09:15:52;1,3,5;;;2017-05-12 09:15:52;2017-08-21 08:00:00
;Zona Oeste;Realengo;;Praça do Canhão ;Linha Vermelha, Avenida brasil, Realengo;;EEFD;;;2016-04-13 21:21:59;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-13 21:29:10;2016-04-15 21:40:00
;Zona Oeste;Realengo;;Realengo ;;;CT: Bloco A;;"Sem cigarro, sem bebidas e Animais 
";2016-07-20 20:04:19;2017-04-19 11:59:25;1,3,5;;;;2016-08-31 21:30:00
;Zona Oeste;Paciência;;Viaduto Paciência.;Estrada De Paciência, Av. Brasil Até O Fundão.;;CT;;Não fumo, aceito contribuição para gasolina.;2018-05-23 07:31:43;2018-05-23 07:31:43;1,2,3,4,5;;;;2018-06-21 07:54:00
;Baixada;Duque de Caxias;;Duque de Caxias;Centro de Caxias, linha vermelha, praia vermelha.;;Praia Vermelha;;Saindo de Caxias até às 17:30Hs;2018-10-31 00:38:54;2018-10-31 00:38:54;1,3,4,5;;;;2019-01-25 18:00:00
;Baixada;Duque de Caxias;;Estação;Linha Vermelha;;CT: Bloco A;;"Confirme pelo zap: 9 9354 9048
Ajuda de custo: 5 reais
Não fume dentro do carro";2016-09-12 08:41:02;2017-04-19 11:59:25;1;;;;2016-10-03 13:00:00
;Zona Oeste;Camorim;;Rio Centro;Bandeirantes, Salvador Allende, Abelardo Bueno, Linha Amarela;;CT;;"Saio 6:45
Posso mudar a rota de acordo com a necessidade.
Tenho tido problemas com o app, trava após eu aceitar a carona. Entre em contato pelo Whatsapp:
+5524999557072
Taxa a combinar.";2016-05-11 08:49:21;2017-04-19 11:59:25;2,3,4,5;;;;2016-07-12 08:00:00
;Zona Sul;Laranjeiras;;General glicerio ou posto br;Rua Das Laranjeiras, Tunel, Linha Vermelha;;Reitoria;;4,00 p/ pessoa;2016-04-29 15:59:34;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-14 08:00:00
;Zona Sul;Humaitá;;Do lado do Colégio Andrews;Rua Pinheiro Guimarães, Conde Irajá, Visconde De Silva, Macedo Sobrinho, Rua Humaitá, Rebouças, Paulo De Frontin, Linha Vermelha;;CT;;Não fumo, não cobro carona e saio de casa 9:20 pra aula das 10.;2016-07-15 00:33:52;2017-04-19 11:59:25;;;;;2016-07-15 10:00:00
;Baixada;São João de Meriti;;Casa do Alemão;Linha Vermelha até a Dutra, altura da igreja de Agostinho Porto;;CT: Bloco H;;Peço 4 reais para ajudar no combustível. Posso buscar em Vilar dos Teles ou no centro de SJM. Desejável ter o dinheiro trocado, pois pode acontecer de eu não ter troco. Utilizo o Waze, em caso de engarrafamento;2016-09-09 01:12:12;2017-04-19 11:59:25;1,3;;;;2016-10-19 10:00:00
;Zona Oeste;Barra da Tijuca;;Bosque da Barra ;Linha Amarela;;CT;;;2016-04-12 06:11:10;2017-04-19 11:59:25;2,3,4,5;;;2016-04-26 22:19:26;2016-05-03 08:00:00
;Zona Sul;Copacabana;;Rua santa Clara 245;Rebouças ;;CT;; Pode trazer cachorro. Não fumo ;2016-04-26 19:37:53;2017-04-19 11:59:25;3,5;;;;2016-06-15 08:00:00
